id,bulk_id,spalen,date1,start_square,value,price,mean_sq,mean_fl,plan_s,plan_m,plan_l,vid_0,vid_1,vid_2,month,month_cnt,Класс объекта,Количество помещений,Огорожена территория,Площадь земельного участка,Входные группы,Детский сад,Школа,Поликлиника,ФОК,Спортивная площадка,Автомойка,Кладовые,Колясочные,Кондиционирование,Вентлияция,Лифт,Система мусоротведения,Видеонаблюдение,Подземная парковка,Двор без машин,Машиномест,Площадь пром. зоны в радиусе 500 м,Площадь зеленой зоны в радиусе 500 м,До Кремля,До ТТК(км),До Садового(км),До большой дороги на машине(км),До удобной авторазвязки на машине(км),До метро пешком(км),До промки(км),До парка(км),До парка пешком(км),Станций метро от кольца,Площадь двора,Курс,Cтавка по ипотеке,Вклады до 1 года,Вклады от 1 года до 3 лет,Вклады свыше 3 лет
0,FF3814A9-9F7D-E711-8530-00505688958B,1,2017-10-01,13109.9,1124.5,135633.913043,38.0,8,147,198,0,0,169,176,10,34,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,57.698052399999995,10.04,5.74,5.94,6.03
1,FF3814A9-9F7D-E711-8530-00505688958B,2,2017-10-01,19898.4,1412.3,128492.419825,58.01,9,139,120,83,30,136,177,10,34,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,57.698052399999995,10.04,5.74,5.94,6.03
2,FF3814A9-9F7D-E711-8530-00505688958B,0,2017-10-01,2100.0,345.0,158237.634409,22.58,10,78,15,0,0,73,20,10,34,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,57.698052399999995,10.04,5.74,5.94,6.03
3,FF3814A9-9F7D-E711-8530-00505688958B,3,2017-10-01,9614.9,769.4,123250.0,78.81,8,50,0,72,0,30,92,10,34,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,57.698052399999995,10.04,5.74,5.94,6.03
4,FF3814A9-9F7D-E711-8530-00505688958B,1,2017-11-01,11947.2,526.7,139420.634921,37.93,9,140,175,0,0,145,170,11,35,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.9265524,9.87,5.17,7.07,6.2
5,FF3814A9-9F7D-E711-8530-00505688958B,2,2017-11-01,18500.7,1385.7,132136.99059600002,58.0,9,135,104,79,28,132,159,11,35,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.9265524,9.87,5.17,7.07,6.2
6,FF3814A9-9F7D-E711-8530-00505688958B,0,2017-11-01,1738.8,91.0,163102.631579,22.88,10,60,16,0,0,58,18,11,35,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.9265524,9.87,5.17,7.07,6.2
7,FF3814A9-9F7D-E711-8530-00505688958B,3,2017-11-01,8980.4,490.4,130635.087719,78.78,8,47,0,67,0,30,84,11,35,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.9265524,9.87,5.17,7.07,6.2
8,FF3814A9-9F7D-E711-8530-00505688958B,1,2017-12-01,11266.0,1209.5,145131.649832,37.93,9,131,166,0,0,133,164,12,36,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.5738545,9.73,5.31,6.28,5.89
9,FF3814A9-9F7D-E711-8530-00505688958B,2,2017-12-01,17058.7,869.6,136454.915254,57.83,9,128,98,68,27,124,144,12,36,эконом,1983,нет,17.0,да,345,825,0,0,да,нет,да,да,1,1,1,контейнеры,0,да,да,1800,65357,25533,18.0,12.0,16.0,0.55,1.7,1.4,0.28,0.58,0.93,8,7640,58.5738545,9.73,5.31,6.28,5.89
